store,upc,week,move,price,profit,descrip,custcoun,Brand
5,4900000634,19,35,.03875,22.94,"COCA-COLA CLASSIC CA",17762,49000
5,4900000639,19,169,.02351096,15.09,"COCA-COLA CLASSIC",17762,49000
5,4900000658,19,20,.03875,22.94,"COKE DIET CANS",17762,49000
5,5490000060,19,14,.02498963,20.12,"DR PEPPER",17762,54900
5,1200000230,20,174,.02351096,15.09,"PEPSI COLA N/R",17597,12000
5,1200000394,20,211,.01867188,0,"PEPSI COLA N.R. BOTT",17597,12000
5,1200000396,20,191,.01867188,0,"DIET PEPSI N.R. BOTT",17597,12000
5,1200000492,20,59,.02498963,20.12,"CAFFEINE FREE PEPSI",17597,12000
5,1200000496,20,69,.02498963,20.12,"DIET PEPSI CAFFEINE",17597,12000
5,3828100261,20,57,.01666667,27.5,"DOM ORANGE SODA",17597,38281
5,4900000634,20,41,.03875,22.94,"COCA-COLA CLASSIC CA",17597,49000
5,4900000639,20,341,.01907493,4.65,"COCA-COLA CLASSIC",17597,49000
5,4900000658,20,38,.03875,22.94,"COKE DIET CANS",17597,49000
5,5490000060,20,59,.01907493,4.65,"DR PEPPER",17597,54900
5,1200000230,21,317,.01907493,4.65,"PEPSI COLA N/R",17911,12000
5,1200000394,21,43,.01867188,0,"PEPSI COLA N.R. BOTT",17911,12000
5,1200000396,21,43,.01867188,0,"DIET PEPSI N.R. BOTT",17911,12000
5,1200000492,21,69,.01907493,4.65,"CAFFEINE FREE PEPSI",17911,12000
5,1200000496,21,92,.01907493,4.65,"DIET PEPSI CAFFEINE",17911,12000
5,3828100261,21,36,.01666667,27.5,"DOM ORANGE SODA",17911,38281
5,4900000634,21,49,.03875,22.94,"COCA-COLA CLASSIC CA",17911,49000
5,4900000639,21,218,.01907493,4.65,"COCA-COLA CLASSIC",17911,49000
5,4900000658,21,38,.03875,22.94,"COKE DIET CANS",17911,49000
5,5490000060,21,79,.01907493,4.65,"DR PEPPER",17911,54900
5,1200000230,22,184,.02351096,15.09,"PEPSI COLA N/R",18299,12000
5,1200000394,22,32,.02335938,20.07,"PEPSI COLA N.R. BOTT",18299,12000
5,1200000396,22,27,.02335938,20.07,"DIET PEPSI N.R. BOTT",18299,12000
5,1200000492,22,57,.02498963,20.12,"CAFFEINE FREE PEPSI",18299,12000
5,1200000496,22,69,.02498963,20.12,"DIET PEPSI CAFFEINE",18299,12000
5,3828100261,22,24,.02083333,37.2,"DOM ORANGE SODA",18299,38281
5,4900000634,22,319,.02770833,8.04,"COCA-COLA CLASSIC CA",18299,49000
5,4900000639,22,148,.02351096,15.09,"COCA-COLA CLASSIC",18299,49000
5,4900000658,22,249,.02770833,8.04,"COKE DIET CANS",18299,49000
